From To Distance
0 1 9.2
0 2 5.8
0 3 18.4
0 4 94.7
0 5 42.1
0 6 125.0
0 7 48.1
0 8 46.3
0 9 41.4
0 10 18.0
0 11 0.8
0 12 118.0
0 13 125.0
0 14 133.0
0 15 46.3
0 16 41.7
0 17 18.0
0 18 1.1
0 19 118.0
0 20 125.0
0 21 134.0
0 22 47.3
0 23 41.4
0 24 17.9
0 25 0.9
0 26 131.0
0 27 120.0
0 28 133.0
0 29 115.0
0 30 112.0
0 31 121.0
0 32 133.0
0 33 116.0
0 34 133.0
0 35 137.0
0 36 134.0
0 37 123.0
0 38 122.0
0 39 119.0
0 40 116.0
0 41 111.0
0 42 117.0
0 43 118.0
0 44 129.0
0 45 117.0
0 46 122.0
0 47 141.0
0 48 114.0
0 49 113.0
0 50 45.4
0 51 119.0
0 52 43.6
0 53 12.0
0 54 8.6
0 55 28.9
0 56 9.6
0 57 11.3
0 58 49.0
0 59 41.2
0 60 82.8
0 61 46.4
0 62 71.4
0 63 102.0
0 64 100.0
0 65 76.9
0 66 47.0
0 67 37.1
0 68 79.0
1 0 9.3
1 2 3.7
1 3 9.2
1 4 99.7
1 5 47.1
1 6 130.0
1 7 53.1
1 8 51.3
1 9 46.4
1 10 8.7
1 11 9.2
1 12 123.0
1 13 130.0
1 14 138.0
1 15 51.3
1 16 46.7
1 17 8.7
1 18 9.6
1 19 123.0
1 20 130.0
1 21 139.0
1 22 52.3
1 23 46.4
1 24 8.6
1 25 8.8
1 26 136.0
1 27 125.0
1 28 138.0
1 29 120.0
1 30 117.0
1 31 126.0
1 32 138.0
1 33 121.0
1 34 138.0
1 35 142.0
1 36 139.0
1 37 127.0
1 38 127.0
1 39 124.0
1 40 121.0
1 41 116.0
1 42 122.0
1 43 123.0
1 44 134.0
1 45 122.0
1 46 127.0
1 47 145.0
1 48 119.0
1 49 118.0
1 50 50.3
1 51 124.0
1 52 15.6
1 53 3.6
1 54 0.8
1 55 19.6
1 56 3.9
1 57 2.1
1 58 54.0
1 59 46.2
1 60 87.8
1 61 35.6
1 62 45.8
1 63 107.0
1 64 105.0
1 65 48.0
1 66 51.9
1 67 42.0
1 68 84.0
2 0 5.8
2 1 3.7
2 3 12.9
2 4 96.3
2 5 43.6
2 6 126.0
2 7 49.7
