type Latitude Longtitude 
P 20.840744 106.768570 
P 20.865955 106.691387 
P 20.860438 106.724860 
P 20.887803 106.618044 
P 21.024978 107.371926 
P 20.972214 107.055918 
P 21.289328 107.451049 
P 20.954869 107.068038 
DK 20.953666 107.069454 
DK 20.976608 107.047140 
DK 20.885959 106.618033 
DK 20.836132 106.767873 
DK 21.022031 105.855117 
DK 20.915500 105.846171 
DK 21.055901 105.781970 
DP 20.953666 107.069454 
DP 20.972583 107.046377 
DP 20.885959 106.618033 
DP 20.842068 106.766360 
DP 21.022031 105.855117 
DP 20.915500 105.846171 
DP 21.073201 105.805659 
DQ 20.958817 107.075773 
DQ 20.976608 107.047140 
DQ 20.885184 106.618703 
DQ 20.840854 106.763603 
DQ 21.028787 105.779671 
DQ 20.962635 105.842395 
DQ 21.048367 105.799477 
WH 21.043347 105.880160 
WH 21.032773 105.905909 
WH 21.075386 105.980410 
WH 21.050396 105.798449 
WH 21.009058 105.860934 
WH 21.030209 105.755877 
WH 20.986300 105.739741 
WH 21.013865 105.724978 
WH 20.956018 105.817860 
WH 20.967560 105.815457 
WH 20.995555 105.849906 
WH 21.000790 105.868778 
WH 21.028909 105.918673 
WH 21.067074 105.891116 
WH 21.070778 105.887074 
WH 21.028434 105.825967 
WH 21.013533 105.858345 
WH 21.028935 105.825796 
WH 21.201068 105.986145 
WH 20.980294 105.909871 
WH 21.037332 105.902000 
WH 20.952482 107.073366 
WH 21.016385 105.841191 
WH 20.860241 106.572328 
WH 20.851900 106.673608 
WH 20.866497 106.698155 
WH 20.940820 106.759595 
WH 20.843976 106.694177 
WH 20.861621 106.672180 
WH 20.944784 107.106406 
WH 20.974482 107.046741 
WH 21.003122 107.310210 
WH 21.034053 106.587862 
WH 20.938382 106.333211 
WH 20.945612 106.027673 
WH 20.938237 106.026987 
WH 20.984255 106.298675 
WH 20.948600 107.080817 
WH 20.973331 107.010795 
WH 21.011910 107.265889 
-1
