From To Distance
0 1 9.2
0 2 5.8
0 3 18.4
0 4 94.7
0 5 42.1
0 6 125.0
0 7 48.1
0 8 46.3
0 9 47.3
0 10 46.9
0 11 123.0
0 12 126.0
0 13 123.0
0 14 41.4
0 15 41.9
0 16 40.4
0 17 94.6
0 18 97.1
0 19 93.2
0 20 18.0
0 21 17.9
0 22 19.3
0 23 19.9
0 24 18.5
0 25 5.6
0 26 6.2
0 27 5.1
0 28 5.5
0 29 5.2
0 30 6.8
0 31 7.5
0 32 9.2
0 33 8.8
0 34 9.6
0 35 8.7
0 36 7.5
0 37 7.0
0 38 8.7
0 39 9.1
0 40 1.1
0 41 0.8
0 42 2.1
0 43 1.1
0 44 2.4
0 45 3.9
0 46 3.3
0 47 3.9
0 48 118.0
0 49 121.0
0 50 127.0
0 51 118.0
0 52 115.0
0 53 135.0
0 54 133.0
0 55 111.0
0 56 127.0
0 57 112.0
0 58 113.0
0 59 115.0
0 60 125.0
0 61 120.0
0 62 120.0
0 63 114.0
0 64 133.0
0 65 116.0
0 66 46.3
0 67 46.9
0 68 126.0
0 69 125.0
0 70 123.0
0 71 41.7
0 72 41.9
0 73 40.4
0 74 94.6
0 75 93.2
0 76 18.0
0 77 17.9
0 78 17.6
0 79 21.5
0 80 19.9
0 81 19.1
0 82 5.6
0 83 6.4
0 84 5.1
0 85 5.2
0 86 6.4
0 87 6.9
0 88 7.5
0 89 9.2
0 90 8.8
0 91 9.4
0 92 9.6
0 93 7.5
0 94 7.2
0 95 7.0
0 96 9.1
0 97 1.1
0 98 0.8
0 99 2.1
0 100 1.1
0 101 1.3
0 102 3.9
0 103 3.3
0 104 3.9
0 105 118.0
0 106 121.0
0 107 127.0
0 108 112.0
0 109 115.0
0 110 133.0
0 111 111.0
0 112 127.0
0 113 113.0
0 114 117.0
0 115 125.0
0 116 121.0
0 117 120.0
0 118 134.0
0 119 133.0
0 120 47.3
0 121 46.9
0 122 123.0
0 123 122.0
0 124 126.0
0 125 125.0
0 126 41.4
0 127 40.9
0 128 41.9
0 129 40.4
0 130 94.6
0 131 93.2
0 132 95.7
0 133 17.9
0 134 19.3
0 135 21.5
0 136 19.9
0 137 18.5
0 138 19.1
0 139 5.6
0 140 6.2
0 141 5.1
0 142 5.5
0 143 5.2
