From To Distance
47 0 141.0
47 1 146.0
47 2 143.0
47 3 125.0
47 4 230.0
47 5 177.0
47 6 260.0
47 7 183.0
47 8 181.0
47 9 176.0
47 10 125.0
47 11 141.0
47 12 42.9
47 13 50.5
47 14 37.3
47 15 181.0
47 16 177.0
47 17 125.0
47 18 142.0
47 19 42.9
47 20 50.5
47 21 33.5
47 22 182.0
47 23 176.0
47 24 125.0
47 25 141.0
47 26 40.9
47 27 45.4
47 28 36.6
47 29 39.4
47 30 34.2
47 31 29.1
47 32 37.0
47 33 41.3
47 34 43.9
47 35 52.6
47 36 50.2
47 37 48.1
47 38 47.3
47 39 44.4
47 40 41.2
47 41 32.7
47 42 37.3
47 43 24.0
47 44 39.9
47 45 41.9
47 46 40.0
47 48 39.1
47 49 34.9
47 50 180.0
47 51 44.3
47 52 118.0
47 53 132.0
47 54 146.0
47 55 142.0
47 56 140.0
47 57 131.0
47 58 184.0
47 59 176.0
47 60 218.0
47 61 78.0
47 62 96.7
47 63 46.9
47 64 47.5
47 65 64.1
47 66 182.0
47 67 172.0
47 68 214.0
-1
