type Latitude Longtitude
P 20.840744 106.768570
P 20.865955 106.691387
P 20.860438 106.724860
P 20.887803 106.618044
P 21.024978 107.371926
P 20.972214 107.055918
P 21.289328 107.451049
P 20.954869 107.068038
DK 20.953666 107.069454
DK 20.958817 107.075773
DK 20.961932 107.078048
DK 21.304194 107.438082
DK 21.282724 107.447935
DK 21.311259 107.444499
DK 20.976608 107.047140
DK 20.976218 107.051366
DK 20.984433 107.029951
DK 21.024485 107.366937
DK 21.017898 107.365734
DK 21.037132 107.363001
DK 20.885959 106.618033
DK 20.885184 106.618703
DK 20.891171 106.610577
DK 20.897696 106.612422
DK 20.888154 106.613956
DK 20.860067 106.727424
DK 20.862704 106.722543
DK 20.857440 106.728722
DK 20.856588 106.728669
DK 20.854771 106.729957
DK 20.864306 106.715720
DK 20.867775 106.714078
DK 20.866747 106.691827
DK 20.863479 106.695496
DK 20.865003 106.702094
DK 20.866303 106.705805
DK 20.865722 106.708562
DK 20.864490 106.712586
DK 20.868597 106.697033
DK 20.871083 106.698116
DK 20.842068 106.766360
DK 20.836132 106.767873
DK 20.841305 106.760523
DK 20.834721 106.769692
DK 20.830870 106.773983
DK 20.826446 106.759671
DK 20.823839 106.766838
DK 20.820630 106.775249
DK 21.022031 105.855117
DK 21.020936 105.825590 
DK 21.000677 105.829972
DK 21.022041 105.855138
DK 21.047888 105.894996
DK 21.081848 105.788566
DK 21.048367 105.799477
DK 21.030102 105.923760
DK 21.124926 105.884965
DK 21.034239 105.906765
DK 21.038886 105.904019
DK 21.047124 105.894820
DK 20.915500 105.846171
DK 20.962635 105.842395
DK 20.980267 105.842395
DK 21.059425 105.950198
DK 21.055901 105.781970
DK 21.055872 105.903506
DP 20.953666 107.069454
DP 20.961932 107.078048
DP 21.282724 107.447935
DP 21.281232 107.433716
DP 21.311259 107.444499
DP 20.972583 107.046377
DP 20.976218 107.051366
DP 20.984433 107.029951
DP 21.024485 107.366937
DP 21.037132 107.363001
DP 20.885959 106.618033
DP 20.885184 106.618703
DP 20.883297 106.619595
DP 20.906135 106.605727
DP 20.897696 106.612422
DP 20.893308 106.614894
DP 20.860067 106.727424
DP 20.863987 106.722746
DP 20.857440 106.728722
DP 20.854771 106.729957
DP 20.862281 106.718520
DP 20.866762 106.714754
DP 20.867775 106.714078
DP 20.866747 106.691827
DP 20.863479 106.695496
DP 20.866216 106.700828
DP 20.865003 106.702094
DP 20.865722 106.708562
DP 20.865080 106.710236
DP 20.864490 106.712586
DP 20.871083 106.698116
DP 20.842068 106.766360
DP 20.836132 106.767873
DP 20.841305 106.760523
DP 20.834721 106.769692
DP 20.833828 106.772438
DP 20.826446 106.759671
DP 20.823839 106.766838
DP 20.820630 106.775249
DP 21.022031 105.855117
DP 21.020936 105.825590 
DP 21.000677 105.829972
DP 21.031386 105.915767
DP 21.047888 105.894996
DP 21.143030 105.782460
DP 21.030102 105.923760
DP 21.124926 105.884965
DP 21.038886 105.904019
DP 21.047885 105.891687
DP 20.915500 105.846171
DP 20.968085 105.826259
DP 20.980267 105.842395
DP 21.073201 105.805659
DP 21.055901 105.781970
DQ 20.958817 107.075773
DQ 20.961932 107.078048
DQ 21.304194 107.438082
DQ 21.304774 107.433254
DQ 21.282724 107.447935
DQ 21.281232 107.433716
DQ 20.976608 107.047140
DQ 20.972483 107.044896
DQ 20.976218 107.051366
DQ 20.984433 107.029951
DQ 21.024485 107.366937
DQ 21.037132 107.363001
DQ 21.027171 107.360511
DQ 20.885184 106.618703
DQ 20.891171 106.610577
DQ 20.906135 106.605727
DQ 20.897696 106.612422
DQ 20.888154 106.613956
DQ 20.893308 106.614894
DQ 20.860067 106.727424
DQ 20.862704 106.722543
DQ 20.857440 106.728722
DQ 20.856588 106.728669
DQ 20.854771 106.729957
DQ 20.864306 106.715720
DQ 20.866762 106.714754
DQ 20.867775 106.714078
DQ 20.865634 106.688823
DQ 20.863479 106.695496
DQ 20.865003 106.702094
DQ 20.866303 106.705805
DQ 20.865080 106.710236
DQ 20.864490 106.712586
DQ 20.871083 106.698116
DQ 20.842068 106.766360
DQ 20.840854 106.763603
DQ 20.841305 106.760523
DQ 20.842719 106.762068
DQ 20.833828 106.772438
DQ 20.830870 106.773983
DQ 20.826446 106.759671
DQ 20.820630 106.775249
DQ 21.022031 105.855117
DQ 21.028787 105.779671
DQ 21.020856 105.829367
DQ 21.000677 105.829972
DQ 21.031386 105.915767
DQ 21.047888 105.894996
DQ 21.081848 105.788566
DQ 21.048367 105.799477
DQ 21.030102 105.923760
DQ 21.005104 105.764802
DQ 21.124926 105.884965
DQ 21.038886 105.904019
DQ 21.047124 105.894820
DQ 20.962635 105.842395
DQ 20.968085 105.826259
DQ 21.059425 105.950198
DQ 21.073201 105.805659
DQ 21.055872 105.903506
WH 21.043347 105.880160
WH 21.032773 105.905909
WH 21.075386 105.980410
WH 21.050396 105.798449
WH 21.009058 105.860934
WH 21.030209 105.755877
WH 20.986300 105.739741
WH 21.013865 105.724978
WH 20.956018 105.817860
WH 20.967560 105.815457
WH 20.995555 105.849906
WH 21.000790 105.868778
WH 21.028909 105.918673
WH 21.067074 105.891116
WH 21.070778 105.887074
WH 21.028434 105.825967
WH 21.013533 105.858345
WH 21.028935 105.825796
WH 21.201068 105.986145
WH 20.980294 105.909871
WH 21.037332 105.902000
WH 20.952482 107.073366
WH 21.016385 105.841191
WH 20.860241 106.572328
WH 20.851900 106.673608
WH 20.866497 106.698155
WH 20.940820 106.759595
WH 20.843976 106.694177
WH 20.861621 106.672180
WH 20.944784 107.106406
WH 20.974482 107.046741
WH 21.003122 107.310210
WH 21.034053 106.587862
WH 20.938382 106.333211
WH 20.945612 106.027673
WH 20.938237 106.026987
WH 20.984255 106.298675
WH 20.948600 107.080817
WH 20.973331 107.010795
WH 21.011910 107.265889
-1
